DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
5.0,Antioquia,2020.0,Cabecera,5.250.157
5.0,Antioquia,2020.0,Centros Poblados y Rural Disperso,1.399.244
5.0,Antioquia,2020.0,Total,6.649.401
5.0,Antioquia,2021.0,Cabecera,5.350.556
5.0,Antioquia,2021.0,Centros Poblados y Rural Disperso,1.375.663
5.0,Antioquia,2021.0,Total,6.726.219
5.0,Antioquia,2022.0,Cabecera,5.424.921
5.0,Antioquia,2022.0,Centros Poblados y Rural Disperso,1.362.925
5.0,Antioquia,2022.0,Total,6.787.846
5.0,Antioquia,2023.0,Cabecera,5.494.521
5.0,Antioquia,2023.0,Centros Poblados y Rural Disperso,1.353.839
5.0,Antioquia,2023.0,Total,6.848.360
5.0,Antioquia,2024.0,Cabecera,5.551.824
5.0,Antioquia,2024.0,Centros Poblados y Rural Disperso,1.351.897
5.0,Antioquia,2024.0,Total,6.903.721
5.0,Antioquia,2025.0,Cabecera,5.600.952
5.0,Antioquia,2025.0,Centros Poblados y Rural Disperso,1.350.873
5.0,Antioquia,2025.0,Total,6.951.825
5.0,Antioquia,2026.0,Cabecera,5.643.692
5.0,Antioquia,2026.0,Centros Poblados y Rural Disperso,1.350.625
5.0,Antioquia,2026.0,Total,6.994.317
5.0,Antioquia,2027.0,Cabecera,5.681.698
5.0,Antioquia,2027.0,Centros Poblados y Rural Disperso,1.351.697
5.0,Antioquia,2027.0,Total,7.033.395
5.0,Antioquia,2028.0,Cabecera,5.715.714
5.0,Antioquia,2028.0,Centros Poblados y Rural Disperso,1.354.277
5.0,Antioquia,2028.0,Total,7.069.991
5.0,Antioquia,2029.0,Cabecera,5.746.268
5.0,Antioquia,2029.0,Centros Poblados y Rural Disperso,1.358.617
5.0,Antioquia,2029.0,Total,7.104.885
5.0,Antioquia,2030.0,Cabecera,5.773.785
5.0,Antioquia,2030.0,Centros Poblados y Rural Disperso,1.364.893
5.0,Antioquia,2030.0,Total,7.138.678
5.0,Antioquia,2031.0,Cabecera,5.799.053
5.0,Antioquia,2031.0,Centros Poblados y Rural Disperso,1.372.223
5.0,Antioquia,2031.0,Total,7.171.276
5.0,Antioquia,2032.0,Cabecera,5.822.958
5.0,Antioquia,2032.0,Centros Poblados y Rural Disperso,1.379.324
5.0,Antioquia,2032.0,Total,7.202.282
5.0,Antioquia,2033.0,Cabecera,5.845.357
5.0,Antioquia,2033.0,Centros Poblados y Rural Disperso,1.386.272
5.0,Antioquia,2033.0,Total,7.231.629
5.0,Antioquia,2034.0,Cabecera,5.866.126
5.0,Antioquia,2034.0,Centros Poblados y Rural Disperso,1.393.156
5.0,Antioquia,2034.0,Total,7.259.282
5.0,Antioquia,2035.0,Cabecera,5.885.450
5.0,Antioquia,2035.0,Centros Poblados y Rural Disperso,1.399.760
5.0,Antioquia,2035.0,Total,7.285.210
5.0,Antioquia,2036.0,Total,7.309.257
5.0,Antioquia,2037.0,Total,7.331.280
5.0,Antioquia,2038.0,Total,7.351.263
5.0,Antioquia,2039.0,Total,7.369.211
5.0,Antioquia,2040.0,Total,7.385.129
5.0,Antioquia,2041.0,Total,7.399.045
5.0,Antioquia,2042.0,Total,7.411.001
5.0,Antioquia,2043.0,Total,7.421.042
5.0,Antioquia,2044.0,Total,7.429.184
5.0,Antioquia,2045.0,Total,7.435.448
5.0,Antioquia,2046.0,Total,7.439.880
5.0,Antioquia,2047.0,Total,7.442.534
5.0,Antioquia,2048.0,Total,7.443.453
5.0,Antioquia,2049.0,Total,7.442.657
5.0,Antioquia,2050.0,Total,7.440.163
8.0,Atlántico,2020.0,Cabecera,2.556.249
8.0,Atlántico,2020.0,Centros Poblados y Rural Disperso,137.416
8.0,Atlántico,2020.0,Total,2.693.665
8.0,Atlántico,2021.0,Cabecera,2.601.879
8.0,Atlántico,2021.0,Centros Poblados y Rural Disperso,139.123
8.0,Atlántico,2021.0,Total,2.741.002
8.0,Atlántico,2022.0,Cabecera,2.634.865
8.0,Atlántico,2022.0,Centros Poblados y Rural Disperso,140.093
8.0,Atlántico,2022.0,Total,2.774.958
8.0,Atlántico,2023.0,Cabecera,2.662.451
8.0,Atlántico,2023.0,Centros Poblados y Rural Disperso,141.114
8.0,Atlántico,2023.0,Total,2.803.565
8.0,Atlántico,2024.0,Cabecera,2.685.141
8.0,Atlántico,2024.0,Centros Poblados y Rural Disperso,141.983
8.0,Atlántico,2024.0,Total,2.827.124
8.0,Atlántico,2025.0,Cabecera,2.702.376
8.0,Atlántico,2025.0,Centros Poblados y Rural Disperso,142.793
8.0,Atlántico,2025.0,Total,2.845.169
8.0,Atlántico,2026.0,Cabecera,2.715.635
8.0,Atlántico,2026.0,Centros Poblados y Rural Disperso,143.504
8.0,Atlántico,2026.0,Total,2.859.139
8.0,Atlántico,2027.0,Cabecera,2.726.274
8.0,Atlántico,2027.0,Centros Poblados y Rural Disperso,144.242
8.0,Atlántico,2027.0,Total,2.870.516
8.0,Atlántico,2028.0,Cabecera,2.735.164
8.0,Atlántico,2028.0,Centros Poblados y Rural Disperso,145.041
8.0,Atlántico,2028.0,Total,2.880.205
8.0,Atlántico,2029.0,Cabecera,2.743.010
8.0,Atlántico,2029.0,Centros Poblados y Rural Disperso,145.951
8.0,Atlántico,2029.0,Total,2.888.961
8.0,Atlántico,2030.0,Cabecera,2.750.423
8.0,Atlántico,2030.0,Centros Poblados y Rural Disperso,147.000
8.0,Atlántico,2030.0,Total,2.897.423
8.0,Atlántico,2031.0,Cabecera,2.757.452
8.0,Atlántico,2031.0,Centros Poblados y Rural Disperso,148.143
8.0,Atlántico,2031.0,Total,2.905.595
8.0,Atlántico,2032.0,Cabecera,2.763.872
8.0,Atlántico,2032.0,Centros Poblados y Rural Disperso,149.293
8.0,Atlántico,2032.0,Total,2.913.165
8.0,Atlántico,2033.0,Cabecera,2.769.680
8.0,Atlántico,2033.0,Centros Poblados y Rural Disperso,150.439
8.0,Atlántico,2033.0,Total,2.920.119
8.0,Atlántico,2034.0,Cabecera,2.774.895
8.0,Atlántico,2034.0,Centros Poblados y Rural Disperso,151.582
8.0,Atlántico,2034.0,Total,2.926.477
8.0,Atlántico,2035.0,Cabecera,2.779.522
8.0,Atlántico,2035.0,Centros Poblados y Rural Disperso,152.749
8.0,Atlántico,2035.0,Total,2.932.271
8.0,Atlántico,2036.0,Total,2.937.348
8.0,Atlántico,2037.0,Total,2.941.562
8.0,Atlántico,2038.0,Total,2.944.931
8.0,Atlántico,2039.0,Total,2.947.480
8.0,Atlántico,2040.0,Total,2.949.193
8.0,Atlántico,2041.0,Total,2.950.056
8.0,Atlántico,2042.0,Total,2.950.092
8.0,Atlántico,2043.0,Total,2.949.327
8.0,Atlántico,2044.0,Total,2.947.768
8.0,Atlántico,2045.0,Total,2.945.403
8.0,Atlántico,2046.0,Total,2.942.251
8.0,Atlántico,2047.0,Total,2.938.348
8.0,Atlántico,2048.0,Total,2.933.690
8.0,Atlántico,2049.0,Total,2.928.280
8.0,Atlántico,2050.0,Total,2.922.132
11.0,"Bogotá, D.C.",2020.0,Cabecera,7.704.034
11.0,"Bogotá, D.C.",2020.0,Centros Poblados y Rural Disperso,28.127
11.0,"Bogotá, D.C.",2020.0,Total,7.732.161
11.0,"Bogotá, D.C.",2021.0,Cabecera,7.793.869
11.0,"Bogotá, D.C.",2021.0,Centros Poblados y Rural Disperso,29.465
11.0,"Bogotá, D.C.",2021.0,Total,7.823.334
11.0,"Bogotá, D.C.",2022.0,Cabecera,7.842.853
11.0,"Bogotá, D.C.",2022.0,Centros Poblados y Rural Disperso,30.463
11.0,"Bogotá, D.C.",2022.0,Total,7.873.316
11.0,"Bogotá, D.C.",2023.0,Cabecera,7.875.957
11.0,"Bogotá, D.C.",2023.0,Centros Poblados y Rural Disperso,31.324
11.0,"Bogotá, D.C.",2023.0,Total,7.907.281
11.0,"Bogotá, D.C.",2024.0,Cabecera,7.897.503
11.0,"Bogotá, D.C.",2024.0,Centros Poblados y Rural Disperso,32.036
11.0,"Bogotá, D.C.",2024.0,Total,7.929.539
11.0,"Bogotá, D.C.",2025.0,Cabecera,7.905.282
11.0,"Bogotá, D.C.",2025.0,Centros Poblados y Rural Disperso,32.616
11.0,"Bogotá, D.C.",2025.0,Total,7.937.898
11.0,"Bogotá, D.C.",2026.0,Cabecera,7.902.685
11.0,"Bogotá, D.C.",2026.0,Centros Poblados y Rural Disperso,33.069
11.0,"Bogotá, D.C.",2026.0,Total,7.935.754
11.0,"Bogotá, D.C.",2027.0,Cabecera,7.894.481
11.0,"Bogotá, D.C.",2027.0,Centros Poblados y Rural Disperso,33.410
11.0,"Bogotá, D.C.",2027.0,Total,7.927.891
11.0,"Bogotá, D.C.",2028.0,Cabecera,7.882.730
11.0,"Bogotá, D.C.",2028.0,Centros Poblados y Rural Disperso,33.639
11.0,"Bogotá, D.C.",2028.0,Total,7.916.369
11.0,"Bogotá, D.C.",2029.0,Cabecera,7.869.122
11.0,"Bogotá, D.C.",2029.0,Centros Poblados y Rural Disperso,33.788
11.0,"Bogotá, D.C.",2029.0,Total,7.902.910
11.0,"Bogotá, D.C.",2030.0,Cabecera,7.854.979
11.0,"Bogotá, D.C.",2030.0,Centros Poblados y Rural Disperso,33.859
11.0,"Bogotá, D.C.",2030.0,Total,7.888.838
11.0,"Bogotá, D.C.",2031.0,Cabecera,7.840.231
11.0,"Bogotá, D.C.",2031.0,Centros Poblados y Rural Disperso,33.872
11.0,"Bogotá, D.C.",2031.0,Total,7.874.103
11.0,"Bogotá, D.C.",2032.0,Cabecera,7.824.205
11.0,"Bogotá, D.C.",2032.0,Centros Poblados y Rural Disperso,33.881
11.0,"Bogotá, D.C.",2032.0,Total,7.858.086
11.0,"Bogotá, D.C.",2033.0,Cabecera,7.806.885
11.0,"Bogotá, D.C.",2033.0,Centros Poblados y Rural Disperso,33.872
11.0,"Bogotá, D.C.",2033.0,Total,7.840.757
11.0,"Bogotá, D.C.",2034.0,Cabecera,7.788.301
11.0,"Bogotá, D.C.",2034.0,Centros Poblados y Rural Disperso,33.844
11.0,"Bogotá, D.C.",2034.0,Total,7.822.145
11.0,"Bogotá, D.C.",2035.0,Cabecera,7.768.475
11.0,"Bogotá, D.C.",2035.0,Centros Poblados y Rural Disperso,33.822
11.0,"Bogotá, D.C.",2035.0,Total,7.802.297
11.0,"Bogotá, D.C.",2036.0,Total,7.781.033
11.0,"Bogotá, D.C.",2037.0,Total,7.758.141
11.0,"Bogotá, D.C.",2038.0,Total,7.733.665
11.0,"Bogotá, D.C.",2039.0,Total,7.707.627
11.0,"Bogotá, D.C.",2040.0,Total,7.680.042
